Casado,Edad,experiencia_laboral,anno_nacimiento,Generacion,ingresos_anuales_brutos
0.0,0.05128205128205132,1.0,0.9487179487179489,0.6666666666666666,0.016463207867073587
1.0,0.28205128205128205,0.0,0.717948717948719,1.0,0.8994913530010173
1.0,0.6923076923076923,0.0,0.30769230769231015,0.3333333333333333,0.352068497795863
1.0,0.6923076923076923,0.0,0.30769230769231015,0.3333333333333333,0.5957104103085793
1.0,0.3076923076923077,0.0,0.6923076923076934,0.3333333333333333,0.6677941675144117
1.0,0.5384615384615384,0.0,0.46153846153846345,0.3333333333333333,0.3584011529331977
0.0,0.1923076923076923,0.5,0.8076923076923102,1.0,0.07529671074940658
0.0,0.20512820512820512,0.5,0.7948717948717956,1.0,0.13425737538148524
1.0,0.6025641025641025,0.0,0.3974358974358978,0.3333333333333333,0.6903950491692099
1.0,0.5256410256410257,0.0,0.47435897435897445,0.3333333333333333,0.716522550016955
0.0,0.11538461538461542,1.0,0.8846153846153868,1.0,0.0720668023058664
0.0,0.01282051282051283,1.0,0.987179487179489,0.6666666666666666,0.07480501865038997
0.0,0.01282051282051283,1.0,0.987179487179489,0.6666666666666666,0.015217022719565959
1.0,0.7307692307692307,0.0,0.26923076923077005,0.3333333333333333,0.28212953543574093
1.0,0.5641025641025641,0.0,0.4358974358974379,0.3333333333333333,0.950737538148525
0.0,0.3205128205128205,0.0,0.6794871794871824,0.3333333333333333,0.2928958969142082
0.0,0.1923076923076923,0.5,0.8076923076923102,1.0,0.15691759918616482
0.0,0.17948717948717952,0.5,0.8205128205128212,1.0,0.1681756527636487
1.0,0.5641025641025641,0.0,0.4358974358974379,0.3333333333333333,0.4705154289589692
1.0,0.858974358974359,0.0,0.1410256410256423,0.0,0.8672092234655815
1.0,0.4358974358974359,0.0,0.5641025641025657,0.3333333333333333,0.9492285520515429
0.0,0.0,1.0,1.0,0.6666666666666666,0.07806035944387929
1.0,0.20512820512820512,0.5,0.7948717948717956,1.0,0.10221261444557478
0.0,0.2564102564102564,0.5,0.7435897435897445,1.0,0.17201593760596812
1.0,0.5641025641025641,0.0,0.4358974358974379,0.3333333333333333,0.4255086469989828
1.0,0.5384615384615384,0.0,0.46153846153846345,0.3333333333333333,0.9669125127161751
0.0,0.17948717948717952,0.5,0.8205128205128212,1.0,0.05173787724652426
1.0,0.4358974358974359,0.0,0.5641025641025657,0.3333333333333333,0.1765598507968803
0.0,0.2435897435897436,0.5,0.756410256410259,1.0,0.15173787724652427
0.0,0.2435897435897436,0.5,0.756410256410259,1.0,0.1426500508646999
1.0,0.3846153846153846,0.0,0.6153846153846168,0.3333333333333333,0.8279331976941335
1.0,0.33333333333333337,0.0,0.6666666666666679,0.3333333333333333,0.39097999321804006
0.0,0.01282051282051283,1.0,0.987179487179489,0.6666666666666666,0.04110715496778569
0.0,0.11538461538461542,1.0,0.8846153846153868,1.0,0.1416327568667345
1.0,0.9102564102564101,0.0,0.0897435897435912,0.0,0.5985842658528315
0.0,0.1282051282051282,1.0,0.8717948717948723,1.0,0.07711088504577823
0.0,0.1923076923076923,0.5,0.8076923076923102,1.0,0.08017124448965751
1.0,0.14102564102564102,1.0,0.8589743589743613,1.0,0.09656663275686675
1.0,0.14102564102564102,1.0,0.8589743589743613,1.0,0.08953882672092237
1.0,0.5384615384615384,0.0,0.46153846153846345,0.3333333333333333,0.317667005764666
0.0,0.41025641025641024,0.0,0.5897435897435912,0.3333333333333333,0.4402933197694134
0.0,0.05128205128205132,1.0,0.9487179487179489,0.6666666666666666,0.04668531705662937
0.0,0.1282051282051282,1.0,0.8717948717948723,1.0,0.08990335707019328
1.0,0.4358974358974359,0.0,0.5641025641025657,0.3333333333333333,0.35004238724991527
1.0,0.3076923076923077,0.0,0.6923076923076934,0.3333333333333333,0.111842997626314
1.0,0.858974358974359,0.0,0.1410256410256423,0.0,0.3053407934893184
1.0,0.3205128205128205,0.0,0.6794871794871824,0.3333333333333333,0.44857578840284845
0.0,0.15384615384615385,0.5,0.8461538461538467,1.0,0.09168362156663276
0.0,0.01282051282051283,1.0,0.987179487179489,0.6666666666666666,0.06487792472024415
0.0,0.3846153846153846,0.0,0.6153846153846168,0.3333333333333333,0.12384706680230587
1.0,0.6025641025641025,0.0,0.3974358974358978,0.3333333333333333,0.8085283146829434
1.0,0.2564102564102564,0.5,0.7435897435897445,1.0,0.6049593082400815
1.0,0.3076923076923077,0.0,0.6923076923076934,0.3333333333333333,0.4023228212953544
1.0,0.5512820512820513,0.0,0.4487179487179489,0.3333333333333333,0.6660562902678875
1.0,0.8205128205128205,0.0,0.1794871794871824,0.0,0.6399287894201424
1.0,0.1923076923076923,0.5,0.8076923076923102,1.0,0.06191929467616142
0.0,0.10256410256410259,1.0,0.8974358974358978,1.0,0.13134113258731775
0.0,0.1923076923076923,0.5,0.8076923076923102,1.0,0.06820108511359785
1.0,0.3846153846153846,0.0,0.6153846153846168,0.3333333333333333,0.5183706341132588
1.0,0.7564102564102564,0.0,0.2435897435897445,0.0,0.5549762631400474
1.0,0.42307692307692313,0.0,0.5769230769230802,0.3333333333333333,0.09238724991522551
1.0,0.5256410256410257,0.0,0.47435897435897445,0.3333333333333333,0.37621227534757545
1.0,0.7820512820512819,0.0,0.21794871794871895,0.0,0.16354696507290606
1.0,0.5384615384615384,0.0,0.46153846153846345,0.3333333333333333,0.7667344862665311
1.0,0.5769230769230769,0.0,0.42307692307692335,0.3333333333333333,0.544735503560529
