ID,Genero,Casado,Edad,Graduado,Profesion,experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,ingresos_anuales_brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno,Cluster,PCA1,PCA2
1918,1,0,-1.2978185786252725,0,3,2,-0.1510479051900146,0.7981101033900488,1.298075374544304,2,-1.1893035481066017,28,-0.3329946517719982,-0.5330863202314747,0,-0.1344170518150403,-0.7128141009088751,1,3.0577056688138637,-0.4175475307000308
3029,0,1,-0.3212161734812615,1,4,0,1.4650151279617671,0.1521860637530754,0.3214573095855072,3,1.7484420006765256,35,0.0315649912702611,-0.5330863202314747,0,1.054799681577463,1.3287998517583437,4,-0.320927853830707,1.9361480669889153
4140,0,1,1.4149658801080909,1,4,0,-0.1510479051900146,-1.1396620155208714,-1.414752583674576,1,-0.0727786082511222,6,-0.19071578976996,0.1644411697995617,0,0.5508942860721651,-0.0322761166864688,0,-2.3642098988903872,0.5348493240621566
5251,1,1,1.4149658801080909,1,8,0,-1.7671109383417964,-0.493737975883898,-1.414752583674576,1,0.7377934532686938,14,-0.4527580036255656,0.1644411697995617,1,0.5979254563193261,1.3287998517583437,0,-2.655323361645439,0.6781807392323412
6362,0,1,-0.2127047951319269,1,7,0,-1.7671109383417964,2.089958182663996,0.212944191256752,1,0.9776088408505657,49,0.0205467628997328,-0.5330863202314747,1,0.0066764589264431,-0.7128141009088751,2,-0.7817652855946418,-1.0365427172903694
7473,1,1,0.7638976100120838,0,0,0,1.4650151279617671,-0.493737975883898,-0.7636738737020448,1,-0.0517105035205967,32,-0.2750291894748715,-0.5330863202314747,0,-0.1344170518150403,-0.7128141009088751,5,-1.2271701954570131,-0.2224205846200071
8584,1,0,-0.7010059977039323,1,3,1,-0.1510479051900146,0.1521860637530754,0.7012532237361504,3,-0.9935704198203272,2,-0.3871276868098106,-0.5330863202314747,0,-0.4300415505114818,-0.7128141009088751,1,1.9158253470541446,-0.6453507479471318
9695,0,0,-0.6467503085292651,1,3,1,-0.1510479051900146,0.1521860637530754,0.6469966645717729,3,-0.7974142372221951,21,-0.0786172924350208,-0.5330863202314747,0,1.625892463150134,-0.0322761166864688,3,1.8795627033400908,1.1675164165267014
0,0,1,1.0351760558854202,1,4,0,-0.1510479051900146,0.1521860637530754,-1.0349566695239327,1,1.052799693878117,37,-0.1624516387325181,1.2107324048461163,1,-0.6920723561742368,-0.7128141009088751,2,-2.5285614253888706,-1.3718464209379218
919,0,1,0.7096419208374165,1,0,0,1.4650151279617671,0.7981101033900488,-0.7094173145376672,1,1.1397232531545287,9,-0.1624516387325181,1.2107324048461163,0,1.2429243625661075,1.3287998517583437,4,-2.0193744800376905,2.110402909145165
1030,0,0,-1.026540132751936,1,4,2,-0.1510479051900146,0.1521860637530754,1.026792578722416,3,-1.004315999341519,11,0.4770846601655321,-0.5330863202314747,0,0.9943310341168272,1.3287998517583437,3,2.8708929163576222,1.6331253727338262
1141,1,0,-1.460585646149274,0,3,2,-0.1510479051900146,0.7981101033900488,1.4608450520374368,2,-0.995206229826178,46,0.2289349951249402,-0.5330863202314747,1,0.1410512310611893,-0.372545108797672,1,3.1641503014615178,-0.7305562347290053
1252,0,0,-1.460585646149274,0,2,2,-0.1510479051900146,-1.1396620155208714,1.4608450520374368,2,-1.1934494803628095,27,-0.167721226214075,-0.5330863202314747,0,-1.35722747824123,-0.7128141009088751,1,2.9735358390632736,-1.2459184322305754
1363,1,1,1.5777329476320927,0,8,0,-0.1510479051900146,-1.1396620155208714,-1.5775222611677089,1,-0.3054584797729901,39,-0.2376630236965584,-0.5330863202314747,0,0.9338623866561916,1.3287998517583437,0,-1.9810612420783478,1.6927083608548419
1474,0,1,0.8724089883614183,0,5,0,-0.1510479051900146,-1.1396620155208714,-0.8721869920308,1,1.9189328883552763,11,-0.4527580036255656,2.6057873849081887,0,0.5173005930384785,1.3287998517583437,4,-2.82175071731114,1.5942761721429561
1585,0,0,-0.1584491059572597,0,3,0,-0.1510479051900146,-0.493737975883898,0.1586876320923744,1,-0.2696398813690177,14,-0.4422188286624516,-0.5330863202314747,0,0.7457377056675469,1.3287998517583437,4,0.2902124780853749,1.5382597314299926
1696,0,0,-0.7010059977039323,0,1,1,-0.1510479051900146,1.4440341430270225,0.7012532237361504,3,-0.7220259588491099,47,0.0205467628997328,-0.5330863202314747,0,0.201519878521825,-0.372545108797672,1,2.429328227714289,0.06564993466419103
